id,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,num_identification_agreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
46250931,2020-05-16 7:54:26 PM EDT,2020-05-16,2020-05-16 23:54:26 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,0,false,"Morpeth, ON N0P 1X0, Canada",42.3044444444,-81.8525,,,,,,,,false,gps,gps,true morels,Morchella,true morels,Fungi,56830
46253155,2020/05/01 4:16 PM EDT,2020-05-01,2020-05-01 20:16:00 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,1,false,"Reston, VA, USA",38.9626795671,-77.3248536361,71,,,,71,,,false,,,true morels,Morchella,true morels,Fungi,56830
46253550,Sun May 17 2020 12:34:47 GMT-0400 (EDT),2020-05-17,2020-05-17 16:34:47 UTC,Eastern Time (US & Canada),needs_id,,0,false,"Gilbert Stuart Dr, Warwick, RI, US",41.6680733092,-71.4767378857,12,,,,12,,,false,,,,Morchella,true morels,Fungi,56830
46259294,2020-05-17 11:06:58 AM EDT,2020-05-17,2020-05-17 15:06:58 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,1,false,"Middlesex, CA-ON, CA",42.8143335624,-81.2714014545,,,,,27568,obscured,,true,gps,gps,true morels,Morchella,true morels,Fungi,56830
46264334,2020-05-17 11:50:26 AM EDT,2020-05-17,2020-05-17 15:50:26 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,0,false,"Barrie, ON L4M 4Y8, Canada",44.5305555556,-79.7294444444,,,,,,,,false,gps,gps,true morels,Morchella,true morels,Fungi,56830
46266878,Sun May 17 2020 14:56:05 GMT-0300 (ADT),2020-05-17,2020-05-17 17:56:05 UTC,Atlantic Time (Canada),needs_id,CC-BY-NC,0,false,"Main St, Mahone Bay, NS, CA",44.4500226087,-64.3847405098,970,,,,970,,,false,,,,Morchella,true morels,Fungi,56830
46269406,Thu May 14 2020 20:33:05 GMT-0700 (PDT),2020-05-14,2020-05-15 03:33:05 UTC,Pacific Time (US & Canada),needs_id,CC-BY-NC,0,false,"Plumas National Forest, Taylorsville, CA, US",40.1195036417,-120.6571210347,100,,,,100,,,false,,,,Morchella,true morels,Fungi,56830
46270730,Sun May 17 2020 14:22:24 GMT-0400 (EDT),2020-05-17,2020-05-17 18:22:24 UTC,Eastern Time (US & Canada),research,CC-BY-NC,1,false,"Rondeau Provincial Park, Chatham-Kent, ON, CA",42.3086203103,-81.850636841,8,,,,8,,,false,,,white morel,Morchella americana,white morel,Fungi,462132
46272230,2020-05-17 1:41:03 PM EDT,2020-05-17,2020-05-17 17:41:03 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,2,false,"Brighton, ON K0K 1H0, Canada",43.9950904844,-77.7317810058,,,,,,,,false,gps,gps,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
46272679,Sun May 17 2020 14:38:19 GMT-0400 (EDT),2020-05-17,2020-05-17 18:38:19 UTC,Eastern Time (US & Canada),needs_id,,0,false,"Middlesex Centre, Middlesex Centre, ON, CA",42.9493514454,-81.4536086392,16,,,,16,,,false,,,,Morchella americana,white morel,Fungi,462132
46273450,Sun May 17 2020 14:41:23 GMT-0400 (EDT),2020-05-17,2020-05-17 18:41:23 UTC,Eastern Time (US & Canada),needs_id,,2,false,"River Rd, Wethersfield, CT, US",41.7199160764,-72.6518227906,5,,,,5,,,false,,,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
46278669,2020-05-17 9:21:03 AM EDT,2020-05-17,2020-05-17 17:21:03 UTC,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"Sweden, NY, USA",43.1503063889,-77.9093261944,,,,,,,,false,gps,gps,Half-free Morel,Morchella punctipes,Half-free Morel,Fungi,133684
46278988,2020-05-17 2:52:07 PM EDT,2020-05-17,2020-05-17 18:52:07 UTC,America/New_York,needs_id,CC-BY-NC,1,false,"Sweden, NY, USA",43.1503463889,-77.9086786944,,,,,,,,false,gps,gps,white morel,Morchella americana,white morel,Fungi,462132
46282832,Sat May 09 2020 16:30:58 GMT-0400 (EDT),2020-05-09,2020-05-09 20:30:58 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,1,false,"Long Valley, NJ, US",40.7471205904,-74.7298343717,38,,,,38,,,false,,,true morels,Morchella,true morels,Fungi,56830
46283366,Sun May 17 2020 14:07:43 GMT-0400 (EDT),2020-05-17,2020-05-17 18:07:43 UTC,Eastern Time (US & Canada),research,CC-BY-NC,1,false,"Lanark, CA-ON, CA",45.0718258128,-76.3149906069,12,,,,27222,obscured,,true,,,Morchella americana,Morchella americana,white morel,Fungi,462132
