datetime,source_db,scientific_name,geometry,country,prov_state,level_01,level_02,eco_region,lulc
2019-04-01T20:03:06Z,inat,Morchella esculenta,"c(6951404.55251401, -261853.680189783)",USA,Georgia,Fulton,NA,Piedmont,5
2019-04-01T00:51:34Z,inat,Morchella importuna,"c(3481914.09288174, 815020.333678323)",USA,California,Contra Costa,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",15
2019-03-26T19:22:00Z,inat,Morchella americana,"c(6393620.75339129, -168551.593476791)",USA,Tennessee,Shelby,NA,Mississippi Valley Loess Plains,10
2019-03-31T15:47:18Z,inat,Morchella esculenta,"c(5624316.10860213, -415228.376161785)",USA,Texas,Tarrant,NA,Cross Timbers,6
2019-03-30T14:51:14Z,inat,Morchella angusticeps,"c(6494491.17961073, -229984.814324252)",USA,Mississippi,Union,NA,Southeastern Plains,18
2019-03-30T14:55:18Z,inat,Morchella punctipes,"c(6494650.8296463, -230659.523408806)",USA,Mississippi,Union,NA,Southeastern Plains,15
2008-05-27T17:44:00Z,inat,Morchella punctipes,"c(7117122.07863373, 1462098.23147801)",CAN,Quebec / Québec,Abitibi-Ouest,Lac-Duparquet,Abitibi Plains and Riviere Rupert Plateau,6
2019-03-29T11:37:59Z,inat,Morchella americana,"c(5625995.93664279, -417837.332421789)",USA,Texas,Tarrant,NA,Cross Timbers,17
2019-03-29T00:14:00Z,inat,Morchella esculenta,"c(6696983.38650367, -169036.582282517)",USA,Alabama,Limestone,NA,Interior Plateau,17
2017-04-21T00:09:30Z,inat,Morchella americana,"c(7005933.98459914, 548821.231144592)",USA,Ohio,Richland,NA,Erie Drift Plain,17
2019-03-27T23:12:38Z,inat,Morchella rufobrunnea,"c(3624345.09107302, 216385.374770289)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-03-27T13:10:48Z,inat,Morchella americana,"c(5703706.90243083, -432113.18718506)",USA,Texas,Dallas,NA,Texas Blackland Prairies,17
2019-03-27T01:07:03Z,inat,Morchella rufobrunnea,"c(3607379.2291671, 460064.696188041)",USA,California,Kern,NA,Central California Valley,8
2019-03-25T22:56:21Z,inat,Morchella importuna,"c(3464525.08912909, 763879.19228345)",USA,California,Santa Clara,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",5
2014-04-07T03:08:00Z,inat,Morchella americana,"c(3745344.93743467, 1488172.49786696)",USA,Oregon,Lane,NA,Willamette Valley,5
2019-03-26T00:12:39Z,inat,Morchella importuna,"c(3473950.08821303, 565534.689470969)",USA,California,Monterey,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-03-25T17:17:03Z,inat,Morchella americana,"c(7148262.36365998, -61582.5907582752)",USA,North Carolina,Polk,NA,Piedmont,17
2016-04-30T15:56:00Z,inat,Morchella americana,"c(7119600.04968277, -22080.5926835234)",USA,North Carolina,Buncombe,NA,Blue Ridge,17
2009-07-03T16:16:00Z,inat,Morchella rufobrunnea,"c(6684045.10131168, 331431.563757018)",USA,Indiana,Monroe,NA,Interior Plateau,3
2019-03-22T19:18:13Z,inat,Morchella rufobrunnea,"c(3642952.65766788, 252782.189582597)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-03-20T22:51:17Z,inat,Morchella importuna,"c(3496864.52616152, 825148.885758913)",USA,California,Contra Costa,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",18
2019-03-19T18:48:04Z,inat,Morchella rufobrunnea,"c(3521132.74598654, 348043.552944436)",USA,California,Santa Barbara,NA,Southern and Baja California Pine-Oak Mountains,18
2018-05-24T18:21:16Z,inat,Morchella americana,"c(6696801.65438171, 810138.471248001)",USA,Michigan,Muskegon,NA,Southern Michigan/Northern Indiana Drift Plains,18
2011-04-21T00:00:00Z,inat,Morchella americana,"c(6684218.81544498, 335735.51213086)",USA,Indiana,Monroe,NA,Interior Plateau,0
2011-04-21T00:00:00Z,inat,Morchella americana,"c(6684218.81544498, 335735.51213086)",USA,Indiana,Monroe,NA,Interior Plateau,14
2011-04-21T00:00:00Z,inat,Morchella angusticeps,"c(6684218.81544498, 335735.51213086)",USA,Indiana,Monroe,NA,Interior Plateau,17
2019-03-17T00:43:23Z,inat,Morchella rufobrunnea,"c(3604912.50839809, 208715.460374604)",NA,NA,NA,NA,NA,17
2019-03-16T00:55:54Z,inat,Morchella rufobrunnea,"c(3469874.64975597, 858325.848212859)",NA,California,Sonoma,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",7
2019-03-15T21:26:16Z,inat,Morchella rufobrunnea,"c(3660031.16299219, 57613.5857946449)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",1
2017-04-28T00:00:00Z,inat,Morchella americana,"c(7623157.7828318, 554769.922510571)",USA,Maryland,Cecil,NA,Northern Piedmont,1
2019-03-11T16:28:42Z,inat,Morchella rufobrunnea,"c(3501773.19847991, 298398.419013002)",USA,California,Santa Barbara,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2014-05-24T08:00:00Z,inat,Morchella snyderi,"c(4377414.27335214, 1789081.15853059)",USA,Washington,Pend Oreille,NA,Columbia Mountains/Northern Rockies,1
2018-05-06T18:00:00Z,inat,Morchella americana,"c(6698016.19099725, 415753.882647512)",USA,Indiana,Marion,NA,Eastern Corn Belt Plains,17
2019-03-12T21:24:18Z,inat,Morchella rufobrunnea,"c(3672584.41267314, 43593.7167234104)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",6
2018-05-04T23:00:00Z,inat,Morchella tridentina,"c(3910557.29221938, 1910885.91164778)",USA,Washington,Clallam,NA,Coast Range,17
2019-03-09T23:16:00Z,inat,Morchella rufobrunnea,"c(3610237.37414788, 235432.853910778)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-03-09T16:55:25Z,inat,Morchella americana,"c(7283326.12393642, -139928.94114691)",USA,South Carolina,Chester,NA,Piedmont,14
2019-03-08T21:28:04Z,inat,Morchella importuna,"c(3554398.95656203, 871068.612693132)",USA,California,Yolo,NA,Central California Valley,15
2006-05-01T13:02:00Z,inat,Morchella americana,"c(6805290.98235302, 701232.627016913)",USA,Michigan,Calhoun,NA,Southern Michigan/Northern Indiana Drift Plains,5
2017-04-28T21:58:00Z,inat,Morchella americana,"c(6825335.52136649, 770287.230742307)",USA,Michigan,Clinton,NA,Southern Michigan/Northern Indiana Drift Plains,7
2019-03-02T21:17:00Z,inat,Morchella rufobrunnea,"c(4324534.05829816, -741162.656778423)",MEX,NA,NA,NA,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",17
2019-03-02T18:43:30Z,inat,Morchella snyderi,"c(4329384.48867321, -738852.910758866)",MEX,NA,NA,NA,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",17
2019-03-03T21:59:00Z,inat,Morchella rufobrunnea,"c(3689349.84409706, 39783.5953816548)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",7
2019-03-02T18:35:52Z,inat,Morchella snyderi,"c(4325474.08093907, -740153.085768492)",MEX,NA,NA,NA,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",5
2019-03-01T19:55:43Z,inat,Morchella rufobrunnea,"c(3474506.49381218, 741960.159899752)",USA,California,Santa Clara,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",3
2019-03-01T20:36:24Z,inat,Morchella rufobrunnea,"c(3678899.3548964, -93071.042172261)",MEX,NA,NA,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",7
2018-05-19T16:03:00Z,inat,Morchella americana,"c(7950638.18639817, 960542.030046067)",NA,Massachusetts,Norfolk,NA,NA,17
2019-02-28T17:36:06Z,inat,Morchella rufobrunnea,"c(3559761.76122041, 328836.40075984)",USA,California,Ventura,NA,Southern and Baja California Pine-Oak Mountains,8
2019-02-28T06:48:18Z,inat,Morchella rufobrunnea,"c(3628579.69921369, 271336.497143783)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-26T21:45:08Z,inat,Morchella rufobrunnea,"c(3679889.63344405, 113897.769846053)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2006-05-28T15:36:00Z,inat,Morchella snyderi,"c(4947255.61845919, 1021116.68085059)",USA,Wyoming,Washakie,NA,Wyoming Basin,17
2019-02-20T19:57:29Z,inat,Morchella rufobrunnea,"c(3453771.53698495, 822441.329384668)",USA,California,San Francisco,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",5
2019-02-20T00:02:10Z,inat,Morchella rufobrunnea,"c(3460158.23685899, 773818.823762546)",USA,California,Santa Clara,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2013-05-04T13:36:00Z,inat,Morchella americana,"c(7727218.9891819, 754877.081131932)",USA,New York,Rockland,NA,Northern Piedmont,17
2009-05-09T02:26:00Z,inat,Morchella americana,"c(7726673.91578652, 755075.471319646)",USA,New York,Rockland,NA,Northern Appalachian and Atlantic Maritime Highlands,17
2019-02-19T00:20:42Z,inat,Morchella rufobrunnea,"c(3671116.75594581, 68707.5921640359)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-19T00:20:29Z,inat,Morchella rufobrunnea,"c(3671125.92710612, 68709.8524734452)",USA,California,San Diego,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-18T20:58:08Z,inat,Morchella rufobrunnea,"c(3655343.98946439, 236130.460761835)",USA,California,Los Angeles,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2019-02-16T22:05:46Z,inat,Morchella rufobrunnea,"c(3546019.55761984, 314316.394028326)",USA,California,Ventura,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",3
