latitude,longitude,datetime,source_db,scientific_name
39.042,-82.6227,2017-03-30T14:46:07Z,tgm,NA
38.7617,-93.7283,2017-03-30T15:51:01Z,tgm,NA
39.21665,-78.283539,2017-03-31T06:00:33Z,tgm,NA
39.5816,-91.4028,2017-03-31T06:36:36Z,tgm,NA
36.291,-96.0015,2017-03-31T06:44:37Z,tgm,NA
36.1541,-81.8626,2017-03-31T06:49:12Z,tgm,NA
38.0178,-87.9786,2017-03-31T06:52:48Z,tgm,NA
37.1709,-94.7044,2017-03-31T06:56:00Z,tgm,NA
34.3697,-85.6938,2017-03-31T07:40:19Z,tgm,NA
34.5245,-82.4936,2017-04-01T05:30:13Z,tgm,NA
36.9474,-84.0872,2017-04-01T05:58:48Z,tgm,NA
34.783919,-96.597977,2017-04-01T06:17:54Z,tgm,NA
34.9323,-86.5719,2017-04-01T06:35:40Z,tgm,NA
34.8581,-111.794,2017-04-01T06:48:03Z,tgm,NA
34.57,-111.857,2017-04-01T06:48:03Z,tgm,NA
35.728956,-97.517395,2017-04-01T06:57:53Z,tgm,NA
37.3329,-84.6716,2017-04-01T06:59:16Z,tgm,NA
35.8095,-84.291,2017-04-01T07:05:23Z,tgm,NA
36.6517,-86.2614,2017-04-01T07:06:49Z,tgm,NA
39.9009,-77.5211,2017-04-01T07:18:13Z,tgm,NA
38.4395,-90.5742,2017-04-01T07:18:13Z,tgm,NA
35.7003,-79.8192,2017-04-01T07:18:13Z,tgm,NA
34.4587,-84.4397,2017-04-01T07:53:22Z,tgm,NA
42.434,-123.332,2017-04-01T08:11:36Z,tgm,NA
37.982092,-90.078964,2017-04-01T08:30:21Z,tgm,NA
38.519,-89.8041,2017-04-01T16:28:47Z,tgm,NA
36.267852,-92.711792,2017-04-02T06:21:41Z,tgm,NA
39.747,-78.4389,2017-04-02T06:38:53Z,tgm,NA
38.7962,-90.5156,2017-04-02T06:47:43Z,tgm,NA
39.752249,-79.778137,2017-04-02T06:58:37Z,tgm,NA
42.5173,-123.42,2017-04-02T07:06:15Z,tgm,NA
36.3391,-88.8518,2017-04-02T07:11:17Z,tgm,NA
35.1293,-86.1867,2017-04-02T07:28:30Z,tgm,NA
37.7375,-88.5457,2017-04-02T07:34:16Z,tgm,NA
38.9061,-95.816,2017-04-02T07:38:01Z,tgm,NA
35.6671,-87.0258,2017-04-02T07:41:32Z,tgm,NA
38.019006,-89.342651,2017-04-02T07:53:23Z,tgm,NA
38.0847,-89.3732,2017-04-02T07:55:44Z,tgm,NA
38.0148,-87.8989,2017-04-02T12:04:52Z,tgm,NA
35.969115,-82.990723,2017-04-02T12:18:48Z,tgm,NA
35.5662,-97.2901,2017-04-02T12:28:53Z,tgm,NA
36.3124,-94.1164,2017-04-03T08:47:22Z,tgm,NA
36.1582,-80.1655,2017-04-03T08:47:22Z,tgm,NA
39.1343,-88.5438,2017-04-03T09:10:55Z,tgm,NA
37.5389,-92.5935,2017-04-03T09:29:21Z,tgm,NA
34.7043,-83.7203,2017-04-03T15:31:41Z,tgm,NA
33.7812,-96.018,2017-04-03T15:38:17Z,tgm,NA
38.8796,-86.0467,2017-04-03T15:43:27Z,tgm,NA
36.147856,-96.297226,2017-04-03T15:50:13Z,tgm,NA
36.2246,-81.5987,2017-04-03T15:52:51Z,tgm,NA
42.4355,-123.168,2017-04-03T16:29:00Z,tgm,NA
36.715,-93.2022,2017-04-03T16:30:18Z,tgm,NA
37.715875,-93.753204,2017-04-03T16:33:42Z,tgm,NA
36.3069,-91.4821,2017-04-03T16:35:20Z,tgm,NA
36.1978,-95.1592,2017-04-03T16:52:35Z,tgm,NA
37.6982,-83.9683,2017-04-03T17:15:11Z,tgm,NA
51.303145,1.027222,2017-04-03T17:31:01Z,tgm,NA
39.4503,-86.3189,2017-04-03T18:55:44Z,tgm,NA
40.4462,-99.3677,2017-04-03T18:55:44Z,tgm,NA
39.909736,-95.185547,2017-04-03T18:55:44Z,tgm,NA
39.2017,-96.3024,2017-04-03T18:55:44Z,tgm,NA
38.978509,-94.35379,2017-04-04T07:10:37Z,tgm,NA
39.6542,-81.8032,2017-04-04T07:10:37Z,tgm,NA
39.9651,-84.1873,2017-04-04T07:24:40Z,tgm,NA
38.7745,-82.3838,2017-04-04T08:22:07Z,tgm,NA
39.9645,-82.4897,2017-04-04T09:30:19Z,tgm,NA
39.909736,-95.185547,2017-04-04T11:32:00Z,tgm,NA
38.7599,-94.1648,2017-04-04T11:46:06Z,tgm,NA
36.1098,-87.6357,2017-04-04T11:51:03Z,tgm,NA
38.9719,-95.2359,2017-04-04T14:13:02Z,tgm,NA
39.6039,-86.3676,2017-04-04T14:36:42Z,tgm,NA
36.579,-92.9977,2017-04-04T16:49:19Z,tgm,NA
37.7026,-91.8681,2017-04-04T16:55:51Z,tgm,NA
37.4138,-79.1422,2017-04-04T17:14:14Z,tgm,NA
37.3175,-96.667,2017-04-04T17:15:02Z,tgm,NA
39.1781,-96.6017,2017-04-04T17:15:54Z,tgm,NA
38.342,-90.4082,2017-04-04T19:17:44Z,tgm,NA
37.7825,-91.6788,2017-04-04T19:17:44Z,tgm,NA
38.5731,-92.1704,2017-04-04T19:25:10Z,tgm,NA
39.643768,-89.418411,2017-04-04T19:29:14Z,tgm,NA
39.1185,-86.9794,2017-04-04T19:31:31Z,tgm,NA
38.977,-90.4264,2017-04-05T06:46:45Z,tgm,NA
42.513108,-123.261795,2017-04-05T06:53:50Z,tgm,NA
39.0404,-90.1405,2017-04-05T06:59:21Z,tgm,NA
38.2034,-92.6246,2017-04-05T07:07:53Z,tgm,NA
38.45332,-91.009541,2017-04-05T07:53:16Z,tgm,NA
37.1938,-94.1298,2017-04-05T07:54:58Z,tgm,NA
37.9487,-92.2677,2017-04-05T07:58:41Z,tgm,NA
39.4537,-94.6402,2017-04-05T08:04:19Z,tgm,NA
37.6349,-85.3988,2017-04-05T08:26:05Z,tgm,NA
38.9622,-84.3858,2017-04-05T11:24:17Z,tgm,NA
34.1087,-83.8443,2017-04-05T13:15:43Z,tgm,NA
39.6093,-86.1065,2017-04-05T13:15:43Z,tgm,NA
38.2569,-87.9972,2017-04-05T13:15:43Z,tgm,NA
39.0358,-87.1589,2017-04-05T13:27:12Z,tgm,NA
38.2695,-84.6838,2017-04-05T13:28:05Z,tgm,NA
45.5202,-122.674,2017-04-05T13:29:55Z,tgm,NA
36.8598,-83.3307,2017-04-05T13:36:35Z,tgm,NA
39.4723,-82.912,2017-04-05T13:57:56Z,tgm,NA
38.695,-92.3104,2017-04-05T13:57:56Z,tgm,NA
37.8899,-88.3054,2017-04-05T16:47:12Z,tgm,NA
34.5219,-83.9767,2017-04-05T16:47:12Z,tgm,NA
40.2075,-84.2358,2017-04-06T06:40:35Z,tgm,NA
44.959,-122.879,2017-04-06T06:54:45Z,tgm,NA
40.1506,-89.3715,2017-04-06T07:11:43Z,tgm,NA
35.6551,-82.6962,2017-04-06T07:15:10Z,tgm,NA
37.6057,-84.2972,2017-04-06T07:16:44Z,tgm,NA
39.6009,-87.4175,2017-04-06T07:19:02Z,tgm,NA
39.425586,-87.351608,2017-04-06T07:22:54Z,tgm,NA
39.2161,-95.3139,2017-04-06T07:26:49Z,tgm,NA
36.472926,-94.305267,2017-04-06T07:32:56Z,tgm,NA
40.052848,-84.149094,2017-04-06T07:48:52Z,tgm,NA
36.774092,-98.327637,2017-04-06T07:51:06Z,tgm,NA
35.983007,-94.474182,2017-04-06T07:59:29Z,tgm,NA
36.0059,-88.4171,2017-04-06T20:56:15Z,tgm,NA
39.061849,-88.428955,2017-04-06T20:56:15Z,tgm,NA
34.73,-82.2566,2017-04-06T20:56:15Z,tgm,NA
35.945771,-79.100876,2017-04-06T21:06:51Z,tgm,NA
38.7337,-81.3776,2017-04-06T21:08:15Z,tgm,NA
40.851216,-89.491882,2017-04-06T21:10:07Z,tgm,NA
36.2334,-80.3038,2017-04-06T21:15:31Z,tgm,NA
38.1857,-92.7723,2017-04-07T05:00:29Z,tgm,NA
36.786,-92.9175,2017-04-07T06:14:25Z,tgm,NA
39.8065,-82.0756,2017-04-07T06:40:30Z,tgm,NA
40.0483,-77.5228,2017-04-07T22:35:14Z,tgm,NA
34.8776,-83.4017,2017-04-07T22:44:23Z,tgm,NA
34.8366,-82.3658,2017-04-07T22:50:42Z,tgm,NA
37.0712,-88.6446,2017-04-07T23:02:24Z,tgm,NA
35.6739,-83.7541,2017-04-07T23:06:20Z,tgm,NA
39.5023,-85.0647,2017-04-07T23:10:31Z,tgm,NA
37.73434,-89.184265,2017-04-07T23:12:44Z,tgm,NA
37.0753,-88.0782,2017-04-07T23:18:06Z,tgm,NA
37.7253,-89.876,2017-04-07T23:19:35Z,tgm,NA
36.1495,-85.5079,2017-04-07T23:30:10Z,tgm,NA
36.4372,-79.852,2017-04-08T08:29:45Z,tgm,NA
38.6997,-87.4976,2017-04-08T08:40:37Z,tgm,NA
36.4379,-95.2691,2017-04-08T08:45:34Z,tgm,NA
38.3009,-86.9625,2017-04-08T08:54:40Z,tgm,NA
37.0398,-85.0842,2017-04-09T08:50:49Z,tgm,NA
39.3678,-82.2657,2017-04-09T08:58:28Z,tgm,NA
39.6321,-84.3639,2017-04-09T09:14:03Z,tgm,NA
45.5202,-122.674,2017-04-09T09:14:03Z,tgm,NA
37.6982,-83.9683,2017-04-09T09:14:03Z,tgm,NA
39.5324,-84.0905,2017-04-09T09:14:03Z,tgm,NA
38.50949,-90.563049,2017-04-09T09:14:03Z,tgm,NA
35.1748,-87.7435,2017-04-09T09:14:03Z,tgm,NA
38.3502,-92.5773,2017-04-09T09:38:28Z,tgm,NA
37.8855,-87.0544,2017-04-09T09:48:55Z,tgm,NA
40.2812,-79.1953,2017-04-09T09:52:39Z,tgm,NA
39.998164,-82.832794,2017-04-09T11:30:48Z,tgm,NA
38.695,-92.3104,2017-04-09T11:30:48Z,tgm,NA
34.2079,-84.1354,2017-04-10T10:38:54Z,tgm,NA
38.2682,-77.1844,2017-04-10T10:42:33Z,tgm,NA
38.4351,-81.7706,2017-04-10T10:45:00Z,tgm,NA
35.8095,-84.291,2017-04-10T10:50:10Z,tgm,NA
39.2104,-79.9331,2017-04-10T10:50:51Z,tgm,NA
40.7293,-92.8716,2017-04-10T11:01:43Z,tgm,NA
38.4293,-82.0169,2017-04-10T11:02:42Z,tgm,NA
39.5223,-88.7546,2017-04-10T11:17:25Z,tgm,NA
36.1219,-95.167,2017-04-10T12:47:03Z,tgm,NA
39.909736,-95.185547,2017-04-10T12:56:28Z,tgm,NA
39.6566,-81.8469,2017-04-10T13:02:44Z,tgm,NA
39.784268,-83.878555,2017-04-10T13:07:25Z,tgm,NA
39.8609,-81.9099,2017-04-10T13:11:03Z,tgm,NA
36.081477,-86.483917,2017-04-10T19:49:53Z,tgm,NA
39.278,-89.8789,2017-04-10T19:49:53Z,tgm,NA
42.5762,-121.868,2017-04-10T19:57:19Z,tgm,NA
39.2861,-86.7695,2017-04-10T19:59:23Z,tgm,NA
39.7073,-87.067,2017-04-10T20:01:30Z,tgm,NA
39.2876,-90.5523,2017-04-10T20:04:34Z,tgm,NA
39.3114,-86.6333,2017-04-10T20:06:29Z,tgm,NA
39.7998,-83.8948,2017-04-10T20:09:47Z,tgm,NA
39.874966,-84.342384,2017-04-10T20:14:35Z,tgm,NA
37.3799,-76.8041,2017-04-10T20:21:09Z,tgm,NA
38.3515,-89.3772,2017-04-10T20:23:35Z,tgm,NA
38.7675,-89.989,2017-04-10T20:25:51Z,tgm,NA
39.4943,-86.0552,2017-04-10T20:31:54Z,tgm,NA
40.3301,-84.0918,2017-04-11T08:00:14Z,tgm,NA
36.2493,-79.1908,2017-04-11T08:15:57Z,tgm,NA
